,ProdTaken,PreferredLoginDevice,CityTier,Occupation,Gender,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,OwnCar,Designation,Age,DurationOfPitch,NumberOfPersonVisited,NumberOfFollowups,NumberOfTrips,PitchSatisfactionScore,NumberOfChildrenVisited,MonthlyIncome
1123,No,Self Enquiry,Tier-1,Small Business,Female,Super Deluxe,3 Star,Single,Yes,Yes,Manager,35.0,16.0,2.0,3.0,4.0,1.0,0.0,21142.0
1124,No,Self Enquiry,Tier-3,Small Business,Male,Standard,3 Star,Married,No,Yes,Senior Manager,39.0,12.0,2.0,1.0,3.0,4.0,1.0,23237.0
1125,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,No,Manager,29.0,8.0,2.0,3.0,2.0,3.0,0.0,23853.0
1126,No,Self Enquiry,Tier-3,Small Business,Male,King,3 Star,Married,Yes,No,VP,50.0,5.0,2.0,3.0,5.0,5.0,1.0,34331.0
1127,No,Self Enquiry,Tier-1,Large Business,Male,Multi,3 Star,Married,No,Yes,Executive,23.0,16.0,2.0,1.0,3.0,1.0,0.0,17073.0
1128,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,5 Star,Married,Yes,Yes,Manager,36.0,12.0,3.0,1.0,4.0,4.0,1.0,20562.0
1129,No,Self Enquiry,Tier-1,Salaried,Male,King,3 Star,Single,No,Yes,VP,42.0,15.0,3.0,4.0,1.0,1.0,1.0,34613.0
1130,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,34.88713146445444,34.0,2.0,1.0,2.0,5.0,0.0,18407.0
1131,No,Company Invited,Tier-1,Large Business,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,34.0,16.0,3.0,4.0,2.0,4.0,1.0,20063.0
1132,No,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,5 Star,Married,No,No,Manager,40.0,15.06853640153669,2.0,3.0,2.0,3.0,1.0,19639.0
1133,No,Self Enquiry,Tier-1,Large Business,Male,Multi,4 Star,Married,No,Yes,Executive,43.0,15.059570867703414,2.0,1.0,6.0,5.0,1.0,19876.0
1134,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,Yes,Executive,35.0,13.0,3.0,4.0,2.0,3.0,0.0,17690.0
1135,No,Self Enquiry,Tier-3,Salaried,Male,Deluxe,5 Star,Single,No,Yes,AVP,46.0,6.0,2.0,1.0,2.0,4.0,1.0,32567.0
1136,Yes,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Married,Yes,No,Executive,28.0,30.0,2.0,3.0,2.0,1.0,0.0,17408.0
1137,No,Company Invited,Tier-1,Salaried,Female,Multi,3 Star,Married,Yes,No,Executive,22.0,32.0,2.0,4.0,2.0,3.0,0.0,17814.0
1138,No,Company Invited,Tier-1,Small Business,Male,Deluxe,3 Star,Married,Yes,Yes,AVP,50.0,26.0,2.0,3.0,3.0,4.0,1.0,26245.0
1139,No,Self Enquiry,Tier-1,Salaried,Female,Multi,3 Star,Married,No,Yes,Executive,32.0,11.0,2.0,1.0,4.0,5.0,1.0,18312.0
1140,No,Self Enquiry,Tier-1,Small Business,Female,King,3 Star,Married,Yes,Yes,VP,44.0,13.0,2.0,3.0,1.0,4.0,1.0,34049.0
1141,No,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Married,No,No,Executive,30.0,13.0,2.0,4.0,2.0,5.0,0.0,17141.0
1142,No,Self Enquiry,Tier-1,Small Business,Female,Super Deluxe,5 Star,Single,Yes,Yes,Manager,45.0,11.0,2.0,5.0,2.0,3.0,0.0,20769.0
1143,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,5 Star,Married,No,No,Manager,45.0,14.897871224698633,2.0,4.0,2.0,3.0,0.0,24099.377121846046
1144,No,Company Invited,Tier-3,Salaried,Male,Super Deluxe,5 Star,Single,No,No,Manager,31.0,8.0,2.0,3.0,1.0,1.0,0.0,20332.0
1145,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,3 Star,Married,Yes,No,Manager,36.0,15.073242396095054,3.0,3.0,1.0,1.0,2.0,19663.0
1146,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,34.0,15.071323476319563,2.0,1.0,2.0,4.0,0.0,19724.0
1147,No,Self Enquiry,Tier-1,Salaried,Female,Multi,5 Star,Married,No,No,Executive,49.0,31.0,2.0,3.0,2.0,3.0,0.0,18211.0
1148,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,5 Star,Married,No,Yes,Manager,39.0,16.0,3.0,3.0,3.0,5.0,2.0,20377.0
1149,No,Self Enquiry,Tier-1,Salaried,Male,Multi,5 Star,Married,No,No,Executive,35.84694522251509,25.0,3.0,4.0,2.0,1.0,0.0,21448.819087702723
1150,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,5 Star,Married,No,No,Manager,35.0,24.0,2.0,1.0,2.0,3.0,1.0,20208.0
1151,No,Self Enquiry,Tier-1,Small Business,Female,Super Deluxe,5 Star,Married,No,Yes,Manager,28.0,33.0,2.0,5.0,1.0,4.0,0.0,20208.0
1152,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,No,Yes,Executive,21.0,11.0,3.0,3.0,2.0,1.0,1.0,18117.0
1153,Yes,Company Invited,Tier-3,Small Business,Female,Multi,3 Star,Single,Yes,No,Executive,18.0,9.0,3.0,3.0,2.0,5.0,1.0,16569.0
1154,No,Self Enquiry,Tier-2,Salaried,Female,King,3 Star,Married,No,Yes,VP,47.0,32.0,3.0,3.0,4.0,4.0,1.0,34658.0
1155,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,3 Star,Married,No,No,Manager,39.0,9.0,3.0,4.0,1.0,4.0,2.0,18069.0
1156,No,Self Enquiry,Tier-1,Salaried,Female,Standard,3 Star,Married,No,Yes,Senior Manager,40.0,21.0,3.0,4.0,2.0,1.0,1.0,25435.0
1157,No,Company Invited,Tier-1,Salaried,Female,Super Deluxe,3 Star,Married,No,Yes,Manager,36.78952582743234,14.0,2.0,3.0,2.0,5.0,1.0,22183.32328474344
1158,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,No,Manager,37.0,25.0,2.0,3.0,4.0,1.0,0.0,20768.0
1159,No,Company Invited,Tier-1,Small Business,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,39.0,10.0,2.0,3.0,1.0,3.0,0.0,20042.0
1160,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,3 Star,Married,No,Yes,Manager,45.0,8.0,2.0,4.0,2.0,4.0,1.0,20770.0
1161,No,Self Enquiry,Tier-1,Small Business,Female,Standard,3 Star,Married,Yes,Yes,Senior Manager,38.0,8.0,2.0,4.0,4.0,5.0,1.0,22756.0
1162,Yes,Self Enquiry,Tier-3,Small Business,Male,Standard,5 Star,Married,No,Yes,Senior Manager,35.0,16.0,2.0,4.0,1.0,5.0,1.0,25306.0
1163,No,Self Enquiry,Tier-1,Small Business,Female,Multi,4 Star,Married,No,Yes,Executive,36.22399848446638,16.0,3.0,3.0,2.0,1.0,0.0,21284.92878262131
1164,No,Self Enquiry,Tier-1,Salaried,Female,Standard,3 Star,Unmarried,Yes,Yes,Senior Manager,40.0,22.0,2.0,3.0,7.0,4.0,0.0,22945.0
1165,No,Company Invited,Tier-2,Salaried,Male,Super Deluxe,3 Star,Married,Yes,Yes,Manager,44.0,6.0,2.0,3.0,5.0,5.0,1.0,20743.0
1166,No,Company Invited,Tier-1,Small Business,Male,Deluxe,3 Star,Married,No,Yes,AVP,48.0,10.0,2.0,4.0,3.0,5.0,1.0,30202.0
1167,Yes,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Married,Yes,Yes,Manager,35.0,21.0,2.0,5.0,7.0,1.0,1.0,20440.0
1168,No,Company Invited,Tier-1,Large Business,Female,Multi,3 Star,Single,Yes,Yes,Executive,36.62700844524544,8.0,2.0,3.0,2.0,3.0,1.0,22002.413509934093
1169,No,Self Enquiry,Tier-1,Small Business,Female,Multi,3 Star,Married,No,No,Executive,34.253102876391,14.0,2.0,1.0,1.0,4.0,0.0,18517.0
1170,No,Company Invited,Tier-1,Small Business,Male,Multi,3 Star,Single,No,No,Executive,27.0,8.0,2.0,3.0,3.0,3.0,1.0,17580.0
1171,Yes,Self Enquiry,Tier-1,Salaried,Male,Multi,5 Star,Single,Yes,No,Executive,40.0,13.0,3.0,3.0,4.0,3.0,1.0,17166.0
1172,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Single,No,Yes,Manager,29.0,16.0,2.0,4.0,1.0,4.0,0.0,20869.0
1173,No,Self Enquiry,Tier-1,Salaried,Female,Standard,5 Star,Married,No,Yes,Senior Manager,36.0,11.0,2.0,3.0,5.0,4.0,1.0,23008.0
1174,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,No,Manager,25.0,8.0,3.0,1.0,2.0,1.0,1.0,20206.0
1175,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,4 Star,Married,No,Yes,Manager,39.0,18.0,3.0,3.0,5.0,3.0,1.0,20295.0
1176,No,Self Enquiry,Tier-1,Salaried,Female,Deluxe,4 Star,Married,No,No,AVP,49.0,28.0,3.0,3.0,4.0,4.0,1.0,31413.0
1177,No,Self Enquiry,Tier-1,Salaried,Female,Standard,5 Star,Married,No,Yes,Senior Manager,50.0,23.0,2.0,4.0,6.0,3.0,0.0,28269.0
1178,No,Self Enquiry,Tier-3,Small Business,Female,Multi,3 Star,Single,No,No,Executive,20.0,8.0,2.0,3.0,2.0,4.0,0.0,17783.0
1179,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,4 Star,Married,No,Yes,Manager,34.0,9.0,3.0,3.0,2.0,5.0,2.0,20433.0
1180,No,Self Enquiry,Tier-1,Salaried,Male,Multi,4 Star,Single,No,No,Executive,36.0,13.0,3.0,3.0,3.0,1.0,2.0,17013.0
1181,No,Self Enquiry,Tier-1,Salaried,Female,Deluxe,3 Star,Married,Yes,Yes,AVP,49.0,12.0,2.0,4.0,3.0,5.0,0.0,28966.0
1182,No,Self Enquiry,Tier-1,Small Business,Female,Super Deluxe,3 Star,Married,No,Yes,Manager,36.0,14.983532899631854,2.0,4.0,1.0,5.0,1.0,22347.040166175633
1183,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,5 Star,Married,No,Yes,Manager,36.0,9.0,3.0,1.0,7.0,1.0,2.0,21842.0
1184,No,Self Enquiry,Tier-1,Small Business,Female,Deluxe,3 Star,Married,No,Yes,AVP,54.0,28.0,3.0,3.0,4.0,1.0,1.0,32426.0
1185,No,Self Enquiry,Tier-1,Salaried,Male,Deluxe,3 Star,Married,No,Yes,AVP,43.0,21.0,3.0,4.0,2.0,3.0,1.0,32603.0
1186,Yes,Company Invited,Tier-3,Salaried,Male,Super Deluxe,3 Star,Single,Yes,Yes,Manager,35.0,15.093903027401609,2.0,3.0,4.0,3.0,0.0,19581.0
1187,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,38.0,15.088225115354888,2.0,3.0,1.0,5.0,0.0,19735.0
1188,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,4 Star,Married,Yes,No,Manager,36.758632834559805,11.0,2.0,4.0,2.0,5.0,0.0,22170.565149070317
1189,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,33.0,8.0,3.0,3.0,2.0,3.0,1.0,20505.0
1190,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,4 Star,Married,No,No,Manager,32.0,8.0,2.0,3.0,1.0,4.0,1.0,20470.0
1191,No,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Married,No,No,Manager,31.0,11.0,3.0,3.0,2.0,1.0,2.0,20476.0
1192,No,Self Enquiry,Tier-1,Small Business,Female,Multi,5 Star,Married,Yes,Yes,Executive,49.0,22.0,3.0,3.0,5.0,1.0,1.0,17587.0
1193,No,Company Invited,Tier-1,Small Business,Female,Multi,4 Star,Single,No,Yes,Executive,38.0,8.0,2.0,4.0,2.0,1.0,0.0,17440.0
1194,No,Self Enquiry,Tier-3,Salaried,Female,Deluxe,4 Star,Married,No,No,AVP,47.0,8.0,2.0,1.0,7.0,1.0,0.0,30972.0
1195,No,Self Enquiry,Tier-1,Salaried,Male,Deluxe,3 Star,Single,No,Yes,AVP,49.0,6.0,2.0,3.0,5.0,3.0,0.0,30379.0
1196,No,Self Enquiry,Tier-3,Salaried,Male,Standard,3 Star,Unmarried,Yes,No,Senior Manager,41.0,29.0,3.0,3.0,4.0,3.0,2.0,22082.0
1197,No,Self Enquiry,Tier-3,Salaried,Male,Multi,5 Star,Single,No,No,Executive,20.0,15.0,2.0,3.0,2.0,1.0,1.0,17728.0
1198,No,Company Invited,Tier-3,Salaried,Female,Super Deluxe,3 Star,Married,Yes,No,Manager,33.0,22.0,2.0,3.0,2.0,1.0,0.0,20368.0
1199,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,36.0,32.0,3.0,3.0,7.0,3.0,0.0,20347.0
1200,No,Self Enquiry,Tier-2,Salaried,Female,Multi,3 Star,Married,Yes,Yes,Executive,44.0,6.0,2.0,3.0,5.0,3.0,0.0,18195.0
1201,Yes,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,Yes,Yes,Executive,36.08904678910882,14.0,3.0,4.0,2.0,4.0,2.0,22790.19078391217
1202,No,Self Enquiry,Tier-1,Small Business,Female,Multi,3 Star,Married,No,No,Executive,38.0,10.0,2.0,3.0,1.0,5.0,0.0,18306.0
1203,No,Self Enquiry,Tier-1,Small Business,Male,Standard,3 Star,Married,No,No,Senior Manager,53.0,30.0,2.0,1.0,4.0,3.0,1.0,22005.0
1204,Yes,Company Invited,Tier-3,Small Business,Female,Multi,3 Star,Married,Yes,Yes,Executive,48.0,13.0,3.0,3.0,3.0,4.0,1.0,17655.0
1205,Yes,Self Enquiry,Tier-1,Salaried,Male,Multi,4 Star,Single,No,Yes,Executive,32.0,8.0,3.0,3.0,2.0,3.0,1.0,16393.0
1206,No,Company Invited,Tier-1,Small Business,Male,Multi,3 Star,Single,No,Yes,Executive,26.0,13.0,3.0,3.0,2.0,4.0,2.0,17570.0
1207,No,Self Enquiry,Tier-1,Large Business,Male,Multi,4 Star,Married,No,Yes,Executive,35.896959771794656,28.0,3.0,4.0,6.0,1.0,1.0,18537.0
1208,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,36.475249796046995,11.0,2.0,4.0,2.0,4.0,1.0,22424.18681769658
1209,No,Self Enquiry,Tier-1,Small Business,Male,Standard,3 Star,Married,No,No,Senior Manager,60.0,6.0,3.0,5.0,4.0,5.0,0.0,25883.0
1210,No,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Married,No,Yes,Executive,33.0,27.0,3.0,1.0,2.0,1.0,1.0,17028.0
1211,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,3 Star,Married,No,No,Manager,37.0,6.0,2.0,5.0,2.0,1.0,1.0,24525.0
1212,No,Self Enquiry,Tier-1,Salaried,Female,Multi,3 Star,Married,No,Yes,Executive,34.0,25.0,2.0,4.0,2.0,4.0,1.0,17929.0
1213,Yes,Self Enquiry,Tier-3,Salaried,Male,Multi,3 Star,Married,Yes,Yes,Executive,23.0,13.0,2.0,3.0,2.0,1.0,0.0,17275.0
1214,No,Self Enquiry,Tier-1,Salaried,Female,Standard,3 Star,Married,Yes,Yes,Senior Manager,44.0,8.0,3.0,1.0,2.0,4.0,0.0,22879.0
1215,No,Company Invited,Tier-1,Small Business,Male,Multi,3 Star,Single,Yes,Yes,Executive,35.0,8.0,3.0,3.0,1.0,3.0,0.0,19930.0
1216,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Married,Yes,No,Manager,43.0,8.0,3.0,3.0,2.0,3.0,0.0,22847.0
1217,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Married,No,No,Executive,24.0,15.195121492249527,3.0,1.0,2.0,1.0,0.0,17348.1358761944
1218,No,Self Enquiry,Tier-3,Small Business,Male,Standard,3 Star,Unmarried,No,Yes,Senior Manager,41.0,12.0,2.0,3.0,2.0,5.0,0.0,24241.0
1219,No,Self Enquiry,Tier-1,Small Business,Female,Multi,3 Star,Married,No,Yes,Executive,29.0,15.0,2.0,3.0,1.0,5.0,1.0,17974.0
1220,No,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,36.0,15.111448894088312,2.0,3.0,4.0,4.0,1.0,19502.0
1221,No,Company Invited,Tier-1,Salaried,Male,Standard,3 Star,Married,No,Yes,Senior Manager,45.0,6.0,3.0,4.0,4.0,1.0,2.0,25748.0
1222,Yes,Self Enquiry,Tier-2,Salaried,Male,Multi,3 Star,Married,No,No,Executive,24.0,28.0,2.0,5.0,2.0,1.0,1.0,16555.0
1223,Yes,Company Invited,Tier-3,Salaried,Male,Deluxe,3 Star,Married,No,Yes,AVP,47.0,15.0,2.0,5.0,1.0,5.0,1.0,27936.0
1224,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Married,No,No,Executive,26.0,23.0,3.0,5.0,2.0,3.0,2.0,17305.0
1225,No,Self Enquiry,Tier-1,Large Business,Female,Deluxe,4 Star,Single,No,Yes,AVP,45.0,34.0,2.0,4.0,2.0,3.0,0.0,31704.0
1226,No,Company Invited,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,37.78118851716437,16.0,2.0,3.0,7.0,1.0,0.0,18433.0
1227,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,32.90794457811657,8.0,3.0,3.0,2.0,5.0,2.0,18477.0
1228,No,Company Invited,Tier-2,Salaried,Male,Super Deluxe,4 Star,Married,No,No,Manager,41.0,10.0,2.0,5.0,7.0,5.0,1.0,21430.0
1229,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,5 Star,Married,Yes,No,Manager,40.0,14.0,3.0,3.0,3.0,1.0,0.0,21516.0
1230,No,Self Enquiry,Tier-1,Small Business,Male,Multi,5 Star,Married,No,Yes,Executive,36.165403173473095,35.0,3.0,3.0,2.0,4.0,1.0,21858.814372392575
1231,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,4 Star,Single,No,Yes,Manager,46.0,19.0,2.0,3.0,7.0,4.0,0.0,20562.0
1232,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,No,Manager,35.0,33.0,2.0,3.0,3.0,5.0,1.0,21883.0
1233,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,30.0,22.0,2.0,3.0,2.0,1.0,0.0,17862.0
1234,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,4 Star,Married,No,No,Manager,47.0,8.0,2.0,3.0,1.0,1.0,1.0,19978.0
1235,No,Self Enquiry,Tier-3,Salaried,Male,Standard,3 Star,Married,Yes,No,Senior Manager,46.0,8.0,3.0,3.0,5.0,3.0,2.0,25368.0
1236,Yes,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,5 Star,Married,Yes,Yes,Manager,36.0,19.0,3.0,4.0,6.0,1.0,0.0,21134.0
1237,Yes,Self Enquiry,Tier-3,Salaried,Male,Super Deluxe,4 Star,Unmarried,No,No,Manager,32.0,6.0,2.0,5.0,7.0,3.0,1.0,21735.0
1238,No,Self Enquiry,Tier-1,Small Business,Female,Multi,4 Star,Single,No,Yes,Executive,23.0,10.0,2.0,3.0,2.0,3.0,1.0,18295.0
1239,No,Company Invited,Tier-1,Large Business,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,31.0,30.0,1.0,3.0,3.0,1.0,0.0,20238.0
1240,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,Yes,Yes,Manager,39.0,6.0,3.0,3.0,2.0,5.0,2.0,21472.0
1241,No,Self Enquiry,Tier-3,Salaried,Male,Standard,3 Star,Married,No,Yes,Senior Manager,32.0,25.0,3.0,5.0,4.0,3.0,2.0,24610.0
1242,No,Self Enquiry,Tier-3,Small Business,Male,King,4 Star,Single,No,Yes,VP,40.0,13.0,2.0,3.0,2.0,4.0,1.0,34833.0
1243,No,Self Enquiry,Tier-2,Salaried,Female,Standard,3 Star,Married,No,Yes,Senior Manager,45.0,10.0,2.0,5.0,5.0,1.0,1.0,24756.0
1244,No,Company Invited,Tier-1,Large Business,Female,Multi,5 Star,Single,No,No,Executive,30.0,8.0,3.0,3.0,1.0,3.0,1.0,19968.0
1245,No,Company Invited,Tier-2,Small Business,Male,Multi,3 Star,Married,No,Yes,Executive,24.0,16.0,2.0,3.0,1.0,4.0,1.0,17145.0
1246,Yes,Company Invited,Tier-2,Salaried,Female,Multi,3 Star,Married,No,Yes,Executive,30.0,14.0,3.0,4.0,7.0,5.0,2.0,17180.0
1247,No,Self Enquiry,Tier-3,Large Business,Male,Super Deluxe,3 Star,Married,No,No,Manager,31.0,11.0,2.0,3.0,2.0,5.0,1.0,23346.0
1248,No,Self Enquiry,Tier-1,Small Business,Female,Multi,3 Star,Single,No,Yes,Executive,32.82663648786759,14.0,3.0,3.0,2.0,4.0,2.0,18445.0
1249,Yes,Self Enquiry,Tier-3,Small Business,Female,Multi,4 Star,Single,No,Yes,Executive,29.0,15.0,2.0,5.0,2.0,1.0,1.0,17760.0
1250,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Unmarried,Yes,No,Manager,29.0,6.0,3.0,1.0,1.0,3.0,1.0,21294.0
1251,No,Self Enquiry,Tier-3,Small Business,Male,Standard,5 Star,Married,No,No,Senior Manager,30.0,21.0,3.0,4.0,3.0,1.0,2.0,22140.0
1252,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Married,Yes,No,Executive,34.0,8.0,3.0,1.0,1.0,1.0,1.0,17932.0
1253,No,Company Invited,Tier-3,Small Business,Female,Super Deluxe,4 Star,Single,No,No,Manager,33.0,8.0,3.0,3.0,1.0,1.0,0.0,20147.0
1254,No,Self Enquiry,Tier-3,Small Business,Female,Super Deluxe,3 Star,Single,No,No,Manager,49.0,15.12540659539519,3.0,3.0,4.0,4.0,1.0,19507.0
1255,Yes,Self Enquiry,Tier-3,Salaried,Female,Standard,5 Star,Unmarried,Yes,No,Senior Manager,33.0,22.0,3.0,3.0,3.0,5.0,0.0,23564.0
1256,No,Company Invited,Tier-1,Small Business,Female,Multi,4 Star,Married,No,No,Executive,38.0,8.0,3.0,4.0,5.0,3.0,0.0,17468.0
1257,Yes,Self Enquiry,Tier-3,Small Business,Male,Standard,3 Star,Married,No,Yes,Senior Manager,31.0,22.0,3.0,3.0,3.0,5.0,0.0,23161.0
1258,No,Self Enquiry,Tier-1,Large Business,Female,Multi,5 Star,Married,No,No,Executive,29.0,10.0,3.0,4.0,2.0,4.0,0.0,17109.0
1259,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,30.0,22.0,2.0,1.0,4.0,1.0,0.0,20294.0
1260,No,Company Invited,Tier-1,Large Business,Male,Multi,4 Star,Single,No,Yes,Executive,32.0,11.0,3.0,3.0,3.0,3.0,1.0,17718.0
1261,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,3 Star,Married,Yes,No,Manager,38.0,24.0,2.0,5.0,4.0,5.0,1.0,20811.0
1262,Yes,Company Invited,Tier-1,Large Business,Male,Multi,3 Star,Married,Yes,Yes,Executive,43.0,23.0,2.0,4.0,1.0,5.0,1.0,17437.0
1263,No,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Married,No,Yes,Executive,42.0,18.0,2.0,3.0,1.0,1.0,1.0,17766.0
1264,No,Self Enquiry,Tier-1,Small Business,Male,King,5 Star,Married,No,No,VP,55.0,8.0,2.0,4.0,1.0,5.0,1.0,34038.0
1265,No,Company Invited,Tier-1,Large Business,Male,Super Deluxe,4 Star,Married,No,No,Manager,33.0,10.0,2.0,3.0,6.0,1.0,0.0,18055.0
1266,No,Self Enquiry,Tier-1,Salaried,Male,Multi,5 Star,Married,No,Yes,Executive,41.0,15.0,3.0,3.0,2.0,5.0,1.0,17289.0
1267,No,Company Invited,Tier-3,Salaried,Male,Super Deluxe,3 Star,Married,Yes,Yes,Manager,36.2588872004377,16.0,2.0,3.0,2.0,1.0,1.0,21699.934832361992
1268,No,Company Invited,Tier-1,Small Business,Female,Deluxe,3 Star,Married,Yes,No,AVP,53.0,6.0,2.0,4.0,5.0,1.0,0.0,27965.0
1269,No,Self Enquiry,Tier-2,Salaried,Male,Multi,3 Star,Single,No,No,Executive,33.019091564300766,8.0,3.0,3.0,1.0,1.0,0.0,18539.0
1270,No,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,34.0,9.0,2.0,5.0,6.0,1.0,0.0,21029.0
1271,Yes,Self Enquiry,Tier-3,Small Business,Male,Multi,4 Star,Single,No,Yes,Executive,21.0,13.0,2.0,3.0,2.0,5.0,1.0,17679.0
1272,No,Self Enquiry,Tier-1,Salaried,Female,Multi,3 Star,Married,No,No,Executive,33.2205243119414,12.0,2.0,4.0,2.0,3.0,1.0,18702.0
1273,Yes,Self Enquiry,Tier-1,Small Business,Female,Multi,5 Star,Married,Yes,No,Executive,22.0,14.0,3.0,3.0,2.0,3.0,1.0,17398.0
1274,No,Self Enquiry,Tier-3,Small Business,Female,Super Deluxe,3 Star,Married,No,Yes,Manager,31.0,35.0,3.0,4.0,2.0,3.0,0.0,20468.0
1275,No,Self Enquiry,Tier-1,Large Business,Female,Standard,3 Star,Married,No,Yes,Senior Manager,51.0,9.0,2.0,3.0,3.0,4.0,1.0,28116.0
1276,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,4 Star,Married,No,No,Manager,36.42088565436576,15.0,2.0,4.0,2.0,4.0,1.0,22422.41654189193
1277,No,Self Enquiry,Tier-1,Small Business,Male,King,3 Star,Married,Yes,Yes,VP,46.0,8.0,2.0,3.0,1.0,1.0,1.0,34328.0
1278,No,Self Enquiry,Tier-1,Salaried,Male,Standard,5 Star,Married,Yes,Yes,Senior Manager,36.0,16.0,2.0,3.0,1.0,5.0,1.0,23321.0
1279,Yes,Company Invited,Tier-1,Small Business,Male,Multi,4 Star,Married,Yes,Yes,Executive,44.0,6.0,2.0,3.0,2.0,3.0,1.0,17342.0
1280,No,Self Enquiry,Tier-2,Salaried,Male,Super Deluxe,4 Star,Married,No,Yes,Manager,37.531248875923865,14.0,2.0,3.0,3.0,3.0,1.0,22264.953571335383
1281,Yes,Self Enquiry,Tier-3,Salaried,Male,Super Deluxe,3 Star,Single,Yes,No,Manager,35.0,33.0,2.0,3.0,2.0,5.0,0.0,20813.0
1282,No,Self Enquiry,Tier-1,Salaried,Male,Multi,5 Star,Married,No,Yes,Executive,33.0,14.0,2.0,1.0,7.0,3.0,1.0,18143.0
1283,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,28.0,6.0,2.0,3.0,2.0,1.0,0.0,17044.0
1284,No,Self Enquiry,Tier-1,Small Business,Male,Standard,3 Star,Unmarried,No,Yes,Senior Manager,39.0,16.0,3.0,3.0,1.0,3.0,0.0,28464.0
1285,No,Company Invited,Tier-3,Salaried,Male,Super Deluxe,4 Star,Unmarried,No,Yes,Manager,46.0,32.0,3.0,4.0,1.0,4.0,2.0,22991.0
